Module,Median,Average
gen_a,18667,23663
poly_getnoise_eta1,3186,3205
poly_getnoise_eta2,1935,1937
NTT,6263,6289
INVNTT,9166,9207
polyvec_basemul_acc_montgomery,7203,7221
poly_tomsg,549,551
poly_frommsg,1138,1155
poly_compress,364,365
poly_decompress,52,54
polyvec_compress,1759,1781
polyvec_decompress,1193,1193
indcpa_keypair,77207,80844
indcpa_enc,96725,97433
indcpa_dec,30993,31419
kyber_keypair_derand,84332,84746
kyber_keypair,90044,91344
kyber_encaps_derand,105337,107621
kyber_encaps,106382,108335
kyber_decaps,138541,142618
